"","column_name","eights"
"780","MAPF34CS",8
"781","MAPF36",8
"782","MAPF37",8
"783","MAPF39S",8
"784","MAPF39S",8888
"785","MAPF42",888
"786","MAPF43S",8
"787","MAPF43S",8888
"788","MAPF44",8
"789","MAPF44",88
"790","MAPF46",888
"791","MAPF47S",888
"792","MAPF47S",8
"793","MAPF48",88
"794","MAPF50",88
"795","MAPF50",8
"796","MAPF51",8888
"797","MAPF51",8
"798","MAPF53",NA
"799","MAPF54R",8888
"800","MAPF54R",8
"801","MAPF55",8888
"802","MAPF55",8
"803","MAPF56",888
"804","MAPF56",8
"805","MAPF57",8
"806","MAPF6",8
"807","HAC3AR",888
"808","HAC3AR",8
"809","HAC3AR",88
"810","HAC3CR",888
"811","HAC3CR",88
"812","HAC3CR",8
"813","HAF12R",888
"814","HAF12R",88
"815","HAC3DR",88
"816","HAC3DR",888
"817","HAC3GR",888
"818","HAC3FR",888
"819","HAC3FR",8
"820","HAC3FR",88
"821","HAC3KR",888
"822","HAC3KR",8
"823","HAC3KR",88
"824","HAC3MR",888
"825","HAC3MR",8
"826","HAC1E",8
"827","HAC3ER",888
"828","HAC3ER",8
"829","HAC3ER",88
"830","HAC2E",8
"831","HAP3",8
"832","HAC1A",NA
"833","HAC1C",8
"834","HAF10",8
"835","HAC1D",8
"836","HAC1G",8
"837","HAC1J",8
"838","HAC1F",NA
"839","HAC1K",NA
"840","HAC1M",NA
"841","HAC2J",8
"842","HAC2F",8
"843","HAC2K",8
"844","HAC3JR",888
"845","HAC3JR",8
"846","HAC1B",8
"847","HAC1O",8
"848","HAC6",8
"849","HAC7",8
"850","HAC8",88
"851","HAC8",888
"852","HAC4B",8
"853","HAC4A",8
"854","HAJ1",8
"855","HAJ7",8
"856","HAJ16",8
"857","HAJ9",8
"858","HAJ12",8
"859","HAJ17",8
"860","HAJ13",NA
"861","HAJ18R",888
"862","MYPC19",8
"863","MYPC20",NA
"864","MYPC21",8
"865","MYPC22",NA
"866","MYPC23S",NA
"867","MYPC27R",8
"868","MYPC28",88
"869","MYPC28",8
"870","MYPC7S",88
"871","MYPC7S",8
"872","HAT4",8
"873","HAT15S",8
"874","HAT15S",8888
"875","HAT16",8
"876","HAT17S",8
"877","HAT17S",8888
"878","HAT5S",8
"879","HAT5S",8888
"880","HAT27",8
"881","HAT28",8
"882","HAT30",8
"883","MAPF12",8
"884","MAPF13",8
"885","MAPF13",88
"886","MAPF7R",88
"887","MAPF8",88
"888","MAPF10",8
"889","MAPF10",88
"890","MAPF25",8
"891","MAPF34R",888
"892","MAPF2",88
"893","MAPF2",8
"894","MAPF3",8
"895","MAPF21",8
"896","MAPF23",888
"897","MAPF24",88
"898","MAPF4",8
"899","MAPF5",8
"900","MAPF20",8
"901","MAPF9",8
"902","MAPF26",888
"903","MAPF27",8
"904","MAPF28",8
"905","MAPF29",888
"906","MAPF30",8
"907","MAPF31",88
"908","MAPF33S",8
"909","MAPF33S",888
"910","MAPF45",8
"911","MAPF41",8
"912","MAPF38",888
"913","MAPF40",8
"914","MAPF40",88
